mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_max_leaf_nodes,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.06353600819905598,0.0036815256098254043,0.008975744247436523,0.000814004069894147,bootstrap,gini,5,sqrt,5,5,5,50,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}",0.7937219730941704,0.820627802690583,0.8018018018018018,0.8053838591955184,0.011272511342397136,992
0.08976173400878906,0.007049313681594805,0.012681245803833008,0.0004894262491863379,bootstrap,gini,5,sqrt,5,5,5,70,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 70}",0.820627802690583,0.8251121076233184,0.7927927927927928,0.8128442343688981,0.014296211144738346,881
0.10916304588317871,0.0028889278890380067,0.015517870585123697,0.001803497904916818,bootstrap,gini,5,sqrt,5,5,5,90,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 90}",0.8071748878923767,0.8475336322869955,0.8063063063063063,0.8203382754952262,0.019233290267426803,659
0.01514108975728353,0.0014137191817145541,0.0033288002014160156,0.0004670145091136322,bootstrap,gini,5,sqrt,5,5,8,10,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 10}",0.7937219730941704,0.820627802690583,0.8063063063063063,0.8068853606970198,0.010991887752894617,974
0.041889031728108726,0.003550712528246851,0.005981842676798503,2.4802663380825098e-06,bootstrap,gini,5,sqrt,5,5,8,30,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 30}",0.8116591928251121,0.820627802690583,0.8063063063063063,0.8128644339406671,0.0059085118984496116,859
0.06306735674540202,0.0015820152108065129,0.009210507074991861,0.0003309934792866556,bootstrap,gini,5,sqrt,5,5,8,50,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 50}",0.820627802690583,0.8385650224215246,0.8063063063063063,0.821833043806138,0.013197111955791192,619
0.08860969543457031,0.002730103155630039,0.011835654576619467,0.000659072857677056,bootstrap,gini,5,sqrt,5,5,8,70,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 70}",0.8071748878923767,0.8430493273542601,0.7972972972972973,0.8158405041813114,0.019657598070188107,801
0.1206819216410319,0.004903757726343513,0.01794123649597168,0.0008146320350909231,bootstrap,gini,5,sqrt,5,5,8,90,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 8, 'n_estimators': 90}",0.820627802690583,0.8340807174887892,0.8018018018018018,0.8188367739937247,0.013238528048254646,714
0.016954501469930012,2.247831920581015e-07,0.004321734110514323,0.0004699093033197255,bootstrap,gini,5,sqrt,5,5,11,10,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 10}",0.8026905829596412,0.8295964125560538,0.7747747747747747,0.8023539234301565,0.022382105903072574,1037
0.042946577072143555,0.000763877054109668,0.0066225528717041016,0.0004525560206674186,bootstrap,gini,5,sqrt,5,5,11,30,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 30}",0.7937219730941704,0.8430493273542601,0.7972972972972973,0.8113561992485759,0.02245790896517079,909
0.07348044713338216,0.0032888735984563794,0.011234442392985025,0.0005207826722570936,bootstrap,gini,5,sqrt,5,5,11,50,"{'bootstrap': 'bootstrap', 'criterion': 'gini', 'max_depth': 5, 'max_features': 'sqrt', 'max_leaf_nodes': 5, 'min_samples_leaf': 5, 'min_samples_split': 11, 'n_estimators': 50}",0.820627802690583,0.8385650224215246,0.8153153153153153,0.8248360468091409,0.00994716740424675,498
